	GO:0016071	GO:0000776
Gtpbp6	0	0
H13	0	0
H2	0	0
H2aw	0	0
H2ax	0	0
H3f3b	0	0
H4c1	0	0
H4c8	0	0
H4f16	0	0
Haspin	0	0
Hdgfl2	0	0
Helq	0	0
Henmt1	0	0
Hexim2	0	0
Hint2	0	0
Hirip3	0	0
Hnrnpa2b1	1	0
Hnrnph1	1	0
Hnrnpk	1	0
Hpf1	0	0
Hprt	0	0
Hps6	0	0
Hpse	0	0
Htr5a	0	0
Htra4	0	0
Ier5l	0	0
Iffo1	0	0
Igfbp6	0	0
Igfbp7	0	0
Imp3	0	0
Imp4	0	0
Ing3	0	0
Ino80e	0	0
Ipo13	0	0
Ipo4	0	0
Iqgap2	0	0
Ireb2	0	0
Izumo4	0	0
Jag2	0	0
Jagn1	0	0
Jmjd6	1	0
Kbtbd7	0	0
Kbtbd8	0	0
Kcnk1	0	0
Kdelr2	0	0
Kdm4b	0	0
Kdm6a	0	0
Khdc1b	0	0
Kif18a	0	1
Kif20a	0	0
Kif20b	0	0
Kif22	0	0
Kif2c	0	1
Klhl28	0	0
Ksr1	0	0
Lama5	0	0
Lcmt2	0	0
Ldb1	0	0
Lgmn	0	0
Lin7b	0	0
Lipt2	0	0
Litaf	0	0
Llgl1	0	0
Lmbr1l	0	0
Lmna	0	0
Lnx2	0	0
Lonp1	0	0
Lrp10	0	0
Lrp6	0	0
Lrr1	0	0
Lrrc14	0	0
Lrrc40	0	0
Lrrc45	0	0
Lrrc47	0	0
Lrrc57	0	0
Lrrc59	0	0
Lss	0	0
Lyrm9	0	0
Lysmd4	0	0
Lzts2	0	0
Mad2l1	0	1
Magoh	1	0
Malsu1	0	0
Mansc1	0	0
Marchf9	0	0
Mastl	0	0
Mbtd1	0	0
Mccc1	0	0
Mcm4	0	0
Mcm6	0	0
Mdm2	0	0
Mdm4	0	0
Med10	0	0
Med26	0	0
Med31	0	0
Med9	0	0
Melk	0	0
Mepce	0	0
Mest	0	0
Mettl15	0	0
Mfap2	0	0
Mib2	0	0
Mier2	0	0
Mipep	0	0
Mknk1	0	0
Mllt10	0	0
Mlycd	0	0
Mmp23	0	0
Mob4	0	0
Mon1a	0	0
Morn2	0	0
Mphosph6	0	0
Mrpl15	0	0
Mrpl17	0	0
Mrpl22	0	0
Mrpl24	0	0
Mrpl27	0	0
Mrpl28	0	0
Mrpl4	0	0
Mrpl51	0	0
Mrpl9	0	0
Mrps11	0	0
Mrps35	0	0
Mrs2	0	0
Msh2	0	0
Msh6	0	0
Mtbp	0	1
Mtg2	0	0
Mthfd2	0	0
Mtpap	1	0
Mtss1	0	0
Mvb12a	0	0
Mvb12b	0	0
Myg1	0	0
Naa40	0	0
Nbr1	0	0
Ncapg2	0	0
Nceh1	0	0
Ndc80	0	1
Ndufv2	0	0
Neil3	0	0
Nfyc	0	0
Nhp2	0	0
Nin	0	0
Nit1	0	0
Nkd1	0	0
Nmral1	0	0
Noc2l	0	0
Nol10	0	0
Nol12	0	0
Npc1	0	0
Nphp1	0	0
Npm1	0	0
Nptn	0	0
Nudt16l1	0	0
Nup160	0	0
Oaz1	0	0
Obox1	0	0
Obox2	0	0
Obox5	0	0
Obox7	0	0
Obscn	0	0
Odf2	0	0
Ogfod2	0	0
Ogt	0	0
Omt2a	0	0
Omt2b	0	0
Oog3	0	0
Oosp1	0	0
Oosp3	0	0
Orai1	0	0
Orc6	0	0
Osbpl9	0	0
Osgin1	0	0
Otub1	0	0
Otud5	0	0
Pabpn1l	0	0
Pan2	1	0
Papss1	0	0
Pard3	0	0
Pard6a	0	0
Pcid2	0	0
Pdcl3	0	0
Pdlim2	0	0
Pes1	0	0
Pex13	0	0
Pfdn4	0	0
Pgp	0	0
Pgrmc2	0	0
Phf19	0	0
Phf23	0	0
Phf6	0	1
Phgdh	0	0
Phkg2	0	0
Pigu	0	0
Plat	0	0
Pld1	0	0
Plekhg1	0	0
Plekhg3	0	0
Plpp3	0	0
Plrg1	1	0
Pnp	0	0
Poll	0	0
Polr2c	0	0
Polr2e	0	0
Pop5	0	0
Por	0	0
Pou4f1	0	0
Pou5f1	0	0
Ppip5k2	0	0
Ppp1r12a	0	1
Ppp2r2a	0	0
Ppp5c	0	0
Ppt2	0	0
Prc1	0	0
Preb	0	0
Prep	0	0
Prepl	0	0
Prkaa2	0	0
Prkd2	0	0
Prmt1	0	0
Prorp	0	0
Prpf40a	1	0
Prpf6	1	0
Prpsap2	0	0
Prrg1	0	0
Prxl2b	0	0
Psma1	0	0
Psmd4	0	0
Pstpip2	0	0
Ptbp1	1	0
Pusl1	0	0
Pwp2	0	0
Pyurf	0	0
Qrich2	0	0
Qtrt1	0	0
R3hdm4	0	0
Rab23	0	0
Rad23b	0	0
Ranbp3	0	0
Rapsn	0	0
Rasa4	0	0
Rbbp7	0	0
Rbm18	0	0
Rbm42	0	0
Rbm7	0	0
Rbmxl2	0	0
Rchy1	0	0
Rdh11	0	0
Rdh12	0	0
Recql5	0	0
Rflna	0	0
Rfpl4	0	0
Rfxank	0	0
Rgs2	0	0
Rhbdf1	0	0
Rhno1	0	0
Rhobtb1	0	0
Riok2	0	0
Rlim	0	0
Rnf121	0	0
Rnf181	0	0
Rnf213	0	0
Rnf219	0	0
Rnf38	0	0
Rnh1	0	0
Robo1	0	0
Rpa2	0	0
Rpa3	0	0
Rps19bp1	0	0
Rpusd3	1	0
Rrm2b	0	0
Rrp9	0	0
Rsl1d1	0	0
Rttn	0	0
Rubcn	0	0
Sarnp	0	0
Sart1	1	0
Sbf1	0	0
Sc5d	0	0
Scaf8	1	0
Scamp3	0	0
Scmh1	0	0
Scml2	0	0
Scoc	0	0
Scyl2	0	0
Sdcbp	0	0
Sdhd	0	0
Selenof	0	0
Senp3	0	0
Senp8	0	0
Sepsecs	0	0
Serhl	0	0
Setd4	0	0
Sf3a3	1	0
Sfpq	1	0
Sgo2a	0	0
Sgsm3	0	0
Sh3bp2	0	0
Sharpin	0	0
Shisa8	0	0
Shoc1	0	0
Sin3a	0	1
Sipa1	0	0
Sirt6	0	0
