,Row.names,log2FoldChange.x,padj.x,log2FoldChange.y,padj.y,TE_significance,RNA_significance
1,Ankrd17-201,2.29469454334562,0.00867824125954286,-0.489734292918078,0.16966040282129,1,0
2,AU022751-201,6.93103672087771,0.00167131241088071,-4.20259914000813,3.66168409558532e-14,1,-1
3,Bcl2l10-201,6.41108674625444,0.00330882915556426,-3.59323394165216,3.13178528191298e-10,1,-1
4,Bhmt-201,4.68730590533628,0.00580563630551508,7.30920932873583,2.66082858393649e-27,1,1
5,Bud31-203,3.33068976221538,0.00379142280827066,2.50026629734034,7.88406937348171e-09,1,1
6,Cenpa-205,2.76389859844176,0.00820681164088934,1.09534466243817,0.00303801095740716,1,1
7,Cul1-201,1.73658336400499,0.00999538176048183,-2.80444321368608,1.95843149114025e-19,1,-1
8,Dppa3-201,2.01867100911246,0.00354488185652785,0.681452941385691,0.0617238871583198,1,0
9,E330021D16Rik-203,6.02076540845088,0.00353722366590162,-3.41982887383376,5.35293498338571e-15,1,-1
10,E330034G19Rik-203,7.77532202064356,5.860558968569e-05,-3.90171108102796,1.15593778737782e-16,1,-1
11,Ercc1-201,7.47530732201428,0.00271013175421849,5.04583304596786,2.05941575055128e-21,1,1
12,H3f3b-202,1.9957504625967,0.00209156575799115,0.870396680801315,0.00798658568501413,1,1
13,Khdc1b-201,4.54797101670414,4.28744700008333e-12,1.76646227238268,4.2341230646745e-10,1,1
14,Ldhb-201,6.06375983470916,0.00330882915556426,-2.52973750691837,2.16612085759207e-07,1,-1
15,Mdm4-210,2.49300438170936,0.00186398442631078,-2.23137719482698,3.45731304234404e-15,1,-1
16,Nlrp14-201,6.52470989906216,0.00186398442631078,-1.45150268497195,0.00450308567198701,1,-1
17,Obox5-201,6.19566427670343,0.00209456567914013,-2.93944792323074,5.93738106022719e-10,1,-1
18,Omt2a-203,5.74360392416877,9.01246873593584e-05,-2.63804898478377,2.05746541699401e-27,1,-1
19,Omt2b-201,3.7513732154912,6.53461129887102e-15,-2.0845074036569,1.09249744266479e-15,1,-1
20,Oog3-201,3.60271277240149,0.00330882915556426,-3.23023084343011,4.08092306058183e-15,1,-1
21,Pttg1-206,3.13343720455144,0.00359162080250747,-0.991527283775227,0.0028466930352069,1,-1
22,Raf1-201,4.77134355086127,0.00867824125954286,-1.70045966645858,2.21162388365448e-05,1,-1
23,Rfpl4-201,6.43168724186749,0.00106711792437398,-4.5964561375099,5.3251167210253e-24,1,-1
24,Spin1-201,4.34643915797611,5.860558968569e-05,-3.28928272266399,3.49665744065283e-16,1,-1
25,Tcl1-201,6.17489121510656,0.00186398442631078,-3.94587732838257,2.39198578698809e-17,1,-1
26,Tcl1b1-201,5.13951563626793,0.00867824125954286,-4.38203097402663,2.02669514666638e-22,1,-1
27,Uchl1-201,5.21620345982614,0.00820983577080645,-3.54374310101728,3.32007844145257e-17,1,-1
28,Zbed3-202,5.98645529663149,5.41394367621448e-07,-3.85638738900175,9.08232504937275e-15,1,-1
