,Row.names,log2FoldChange.x,padj.x,log2FoldChange.y,padj.y,TE_significance,RNA_significance
1,0610012G03Rik-201,-5.60516414025534,2.82582700076107e-06,-1.14318894821275,0.0179792726771469,-1,0
2,Abhd17b-201,-1.69824268761774,0.0073896436763496,0.135070882508205,0.569156795710502,-1,0
3,Acat1-201,-1.06507206774578,0.00256197580428544,0.123474699779613,0.478394798931982,-1,0
4,Actr2-201,-1.47354358141174,7.29964726443769e-06,-0.0979905685266389,0.676129007112126,-1,0
5,Anxa7-201,-0.52236697954443,0.00625578395580906,0.0810180798593623,0.635672433817062,-1,0
6,Ap3m1-206,-0.764818528327514,0.0034036384244682,0.0406154923890558,0.861897355257545,-1,0
7,Arrdc1-202,-1.35592837014555,0.000789541759181216,-0.683540519079294,9.35014929182026e-05,-1,-1
8,Asf1b-201,-1.3105956399622,0.000275715248978741,0.173716689373097,0.312987340990859,-1,0
9,Atad1-203,-1.28776960529127,3.43591470197079e-05,0.112203171222925,0.597918669086859,-1,0
10,Atp5j2-202,-4.75731653327238,0.00453801707773614,-0.574868600720989,0.0805003316052802,-1,0
11,AU015836-205,-1.72566483398527,1.58860019070249e-05,-0.400986735602477,0.0246316957467828,-1,0
12,Baiap2l1-201,-1.33244732886341,0.000570195329865121,0.0472906642273706,0.863676162010326,-1,0
13,Bcl2l10-201,-0.703393504036102,0.000184366999901945,0.117405724010354,0.47088814553884,-1,0
14,Bpgm-201,-0.578529387691827,0.000368803207962515,0.151866721294205,0.274337383323717,-1,0
15,Brix1-201,-1.77797927926102,1.45242078437038e-06,0.352408787855204,0.0110455568644008,-1,0
16,C87499-201,-1.36163074822227,1.0247825146678e-09,0.00631713461446457,0.97656053502449,-1,0
17,Ccno-201,-1.06991176375682,0.000294121203258756,-0.247730342400927,0.138141300938423,-1,0
18,Cdc40-201,-1.0967976685293,0.00924633746360536,0.0140741514155702,0.960725218093911,-1,0
19,Cdc42ep2-201,-3.18751736227471,0.000968062852200946,-0.11654366613582,0.439670650741188,-1,0
20,Cdk20-201,-2.62818929861264,0.0047337917852702,-0.701677288915329,0.0343231412691898,-1,0
21,Cenph-201,-1.58308359445381,0.000362920897152575,0.152151832647522,0.366595710245849,-1,0
22,Chmp7-201,-4.13780116075705,0.00814582888804157,-0.0447408041478756,0.848001677303968,-1,0
23,Cks2-201,-1.44848175456438,1.62455415945557e-06,-0.00218586337114052,0.992492538932878,-1,0
24,Clk1-201,-2.05697516724021,1.35556502173444e-07,0.321713005375493,0.0462760026447622,-1,0
25,Cltb-202,-1.91905478616642,0.00221086683329932,-0.505867100240362,0.0979069055946171,-1,0
26,Cops2-201,-1.76361991029431,0.00018948276348977,-0.0424205799256165,0.877275421772198,-1,0
27,Cox6a1-201,-2.38419448244447,0.00240701950390228,-0.464833457512674,0.123774306819322,-1,0
28,Cpsf3-201,-4.96692057863907,0.000878538356592071,-0.285718708587747,0.248038319375965,-1,0
