,Row.names,log2FoldChange.x,padj.x,log2FoldChange.y,padj.y,TE_significance,RNA_significance
1,1110004F10Rik-201,-0.0300410720787222,0.963064817932421,0.261297102298864,0.605610729887027,0,0
2,1110038F14Rik-201,-0.00901638083386062,0.987102045662783,2.37435663561173,5.11374741415287e-08,0,1
3,1110059E24Rik-201,0.184060800996559,0.686669064480377,0.24567145813944,0.658055885708173,0,0
4,1500011B03Rik-202,0.140670767237302,0.822759427673653,-0.303729734766545,0.43148719213137,0,0
5,1700084M14Rik-201,-0.021652111489091,0.955759773146123,0.729014541015888,0.201910171832006,0,0
6,1810013L24Rik-201,0.170450244865843,0.810446360447598,-0.761665523007932,0.106397350830259,0,0
7,1810037I17Rik-201,0.10889495782986,0.90268466009964,-2.70598878437895,1.13601156242973e-08,0,-1
8,2310061I04Rik-204,0.164539082059668,0.784001312353629,-4.17328059938331,1.73480376632602e-11,0,-1
9,2410141K09Rik-202,-0.225015040144764,0.622421256831613,1.02519404898627,0.0388248381540532,0,0
10,2610507B11Rik-201,1.31792537505123,0.194622487429419,0.154201173674099,0.796561719057259,0,0
11,2700049A03Rik-203,1.44950703978094,0.194622487429419,-1.68720625827713,0.0015681281042404,0,-1
12,2700062C07Rik-201,-0.23927091268952,0.610953137467716,1.6887005738809,2.17668808375948e-05,0,1
13,3110001I22Rik-201,0.102497702218684,0.822759427673653,-2.82203054706291,4.53380075069309e-05,0,-1
14,3110009E18Rik-203,-0.000285012961898629,0.565645347569955,-2.89155805989961,1.78100843325368e-07,0,-1
15,4833420G17Rik-203,-0.149342913624808,0.830375257417808,-0.931236445156543,0.0383232557389301,0,0
16,4921524J17Rik-201,0.304828567484642,0.606609783200266,-0.208820357521976,0.608277023751867,0,0
17,4930432K21Rik-202,0.340133464862499,0.543144185087169,3.18411469419857,4.63602153684176e-07,0,1
18,4930453N24Rik-201,-0.101581422864746,0.849161195626567,-0.0802549385642237,0.851977777021331,0,0
19,4931406P16Rik-202,-1.26265553639234,0.203587891318797,-3.84651039224083,7.28457952311449e-07,0,-1
20,4931428L18Rik-207,0.257912185380321,0.437367499722576,-2.28237966967993,0.00092916981700295,0,-1
21,5031439G07Rik-201,-0.41319629126471,0.466315624341557,0.694884247149242,0.289851020611353,0,0
22,5730480H06Rik-205,0.0984985909615958,0.828593345700282,-2.64365497975906,1.09530505222694e-09,0,-1
23,5730507C01Rik-201,-0.236661358781286,0.687159087692465,1.09815531972828,0.0115193674690253,0,0
24,6030458C11Rik-201,-0.167869649245775,0.70108310923269,-3.63773565571521,1.01432134565436e-06,0,-1
25,7420426K07Rik-201,0.216052528933887,0.655419290165853,-4.96466343458286,4.34129425716806e-13,0,-1
26,9430038I01Rik-201,-0.198359749989594,0.589969731215188,-0.46155738399723,0.279554607663925,0,0
27,9530068E07Rik-201,-0.411118640007462,0.409182781551121,-2.19840696362939,5.86763085538035e-05,0,-1
28,A430005L14Rik-201,0.0783141225979556,0.772259722553297,2.95472521385881,3.73920020614308e-12,0,1
29,A430033K04Rik-202,0.172243026073139,0.671383554040379,-2.9729365785228,1.34685028561983e-05,0,-1
30,A530032D15Rik-201,0.099053335286626,0.844540814459132,2.0870964820032,6.60917604056475e-09,0,1
31,AA792892-202,0.0315543262907906,0.79632526630358,-6.09167364186736,3.5459907013188e-11,0,-1
32,Aaas-201,-0.25239603856403,0.648723844766531,0.0652143573730144,0.899606528172103,0,0
33,Aamp-201,-0.139856667106939,0.82497992541496,0.0236520965484685,0.961744560183328,0,0
34,Aars-201,1.24923282068723,0.146706093358472,2.04365534720839,9.23248543688753e-06,0,1
35,Aatf-201,-0.246361442482604,0.565645347569955,2.0560013872419,0.000884251741144906,0,1
36,Abca13-201,0.101150445168129,0.855537380093154,-2.9743264889362,4.60453673292209e-05,0,-1
37,Abcb1b-201,-0.0909074889007137,0.85216401179184,-2.87500796569773,9.3136496667254e-06,0,-1
38,Abce1-201,-0.473438199187199,0.484484768392256,1.70453500879436,0.000589942100322035,0,1
39,Abcf1-201,-0.0329393806920076,0.965431637387833,2.54282865201876,1.64858624894868e-11,0,1
40,Abcf2-201,0.0645221538154094,0.936240736755411,0.471331273472034,0.204520014787884,0,0
41,Abcf3-201,0.0331832310443029,0.96359816561399,0.153097490264311,0.749856380503047,0,0
42,Abhd11-201,0.187823606890481,0.686669064480377,-0.78205335375814,0.105180370197083,0,0
43,Abhd17b-201,-0.00496723344519819,0.889944800284026,-6.74118697634208,4.53954916520907e-05,0,-1
44,Abhd4-202,0.0962834537820026,0.96181062878519,-5.11184683811802,3.46300554801171e-08,0,-1
45,Abhd6-202,0.425039130713386,0.536719355551005,1.40717063125608,0.00113757107079358,0,1
46,Abi1-205,1.39917950754651,0.203898065338971,-1.26636585409527,0.00191297275852575,0,-1
47,Abl2-201,-0.333046216525593,0.609557438736931,-2.49044518846649,3.43261344288096e-05,0,-1
48,Abraxas1-202,0.132467407275573,0.580723804528482,0.715922472911468,0.183563703525176,0,0
49,Abt1-201,-0.222223770085551,0.623920251558988,1.50726154970803,0.000195283509113236,0,1
50,Acadm-201,-0.862783677531359,0.335408241146753,0.775051650206614,0.0179346385446348,0,0
51,Acat1-201,-0.183550548373762,0.808781856988224,-1.42018183500706,2.4074031885456e-05,0,-1
52,Acbd3-201,0.169299340374067,0.789188207311757,-2.65011686826329,3.88400353382582e-06,0,-1
53,Acbd5-203,1.09129834772638,0.231527397615593,-1.17014612938473,0.0023481926810031,0,-1
54,Accsl-201,2.95272054274045,0.0855512882006902,-4.39276033076986,8.62114193310364e-26,0,-1
55,Acd-201,-0.0482960967861807,0.935996456834545,-2.6070663720032,1.86388913287308e-12,0,-1
56,Acin1-201,0.16411578532542,0.822567727228026,1.38635174733913,0.003763769609993,0,1
57,Acly-201,-0.260728663426607,0.678275359698217,-0.736706173294058,0.14582530571716,0,0
58,Acsl3-201,-0.277098006687572,0.622710406870147,-1.81703014855121,4.57895481217993e-05,0,-1
59,Acsl4-201,-0.123208637904279,0.844540814459132,2.98551182794949,8.52549124529386e-05,0,1
60,Actb-201,0.507568061287515,0.456468953577034,0.895464061248166,0.0376773572620935,0,0
61,Actg1-202,0.667002598670784,0.324117262589964,0.13752954264034,0.737823067639277,0,0
62,Actl6a-201,-0.241341940376513,0.69947530777389,-0.467180298615164,0.290141332283184,0,0
63,Actn2-201,-0.0675174790215114,0.926234147307593,3.81047603111386,8.52048452303058e-14,0,1
64,Actn4-211,-0.658138927690369,0.365850332474977,-0.241951518049829,0.663401063073916,0,0
65,Actr1a-201,0.0129744960320157,0.984209859813216,-2.3406392163348,9.09865780047305e-06,0,-1
66,Actr2-201,0.207961089060913,0.759687899327763,-0.696149539809505,0.0815859567364167,0,0
67,Actr3-202,-0.169198438123068,0.784001312353629,-2.39832571514351,1.36235691063393e-07,0,-1
68,Actr6-201,-0.0817458225357058,0.991615626355687,4.09829080662878,7.15570616974366e-11,0,1
69,Adam10-201,-0.22444496696135,0.728758533964709,-0.312190846169663,0.564920741563343,0,0
70,Adam17-201,-0.250025574201097,0.67964161025335,0.193994526378989,0.735099088409763,0,0
71,Adamtsl1-203,0.336072110202889,0.426752665156438,-2.9323063546186,5.3107520179324e-05,0,-1
72,Add1-205,-0.379528279825665,0.571387190190185,-1.38489440254016,0.0170924694276089,0,0
73,Adh5-201,0.0971076343709042,0.892484293542361,-2.77642845692408,6.29976323086927e-14,0,-1
74,Adk-201,0.164390651871372,0.759687899327763,-1.63143380361584,0.000185548170904418,0,-1
75,Adm2-201,0.118824619836216,0.902879390244529,-4.12463521207429,7.16885347145426e-10,0,-1
76,Adsl-201,-0.112236878594181,0.831558580269252,2.46924594947933,7.83517965686841e-07,0,1
77,Adss-201,0.51839323664561,0.464006163610596,-2.92364051624645,2.59316601018698e-11,0,-1
78,Adtrp-201,-0.0900813646660209,0.902879390244529,0.767153394642808,0.0946865482336399,0,0
79,Aebp2-202,-0.332174050048514,0.607453074940592,-1.15744179920816,0.00358774274860275,0,-1
80,AF067061-201,0.491445744941913,0.289282978972436,-1.36794209653207,0.00980872269623711,0,-1
81,Afdn-212,0.441999723556215,0.497597971970476,-1.92751468365158,0.00212998290297568,0,-1
82,Aff1-202,-0.213463770427581,0.762610590645441,0.04256099706594,0.937572861396277,0,0
83,Afg3l2-201,-0.133501593947647,0.825846883999061,-1.57673797042832,0.00645853099250866,0,-1
84,Aftph-201,-0.166205465457502,0.79632526630358,-1.23398234723739,0.0150475921944158,0,0
85,Ago2-201,-2.8359805295744,0.0321843248589878,-0.563121678547311,0.290901856652676,0,0
86,Agpat1-201,-0.1251319775805,0.795515650624674,-4.75329212849675,0.00261251974512285,0,-1
87,Agpat5-202,0.286314920858567,0.609312116483989,3.12030496232881,7.88899561529925e-14,0,1
88,Agps-201,0.0326336907455162,0.962114678210847,-1.33090923233123,0.0168947655040089,0,0
89,Agtpbp1-201,0.240525007579437,0.629862785885899,-3.62035750083797,5.66766154000955e-12,0,-1
90,Ahctf1-201,0.195477932029739,0.78687931017725,0.330770935609395,0.454030669131016,0,0
91,Ahdc1-204,0.0529598870297835,0.936240736755411,-2.60246395723156,0.000330113970352403,0,-1
92,Ahsa1-201,1.86561053212364,0.0286892335590375,-1.63323665520551,5.77266792825822e-08,0,-1
93,AI987944-201,0.588373806786011,0.242485689927531,-3.73081896059209,9.283043685215e-12,0,-1
94,Aimp2-201,-0.178026362875034,0.739235055260419,3.5135708687243,2.27602530091145e-11,0,1
95,Ak2-201,0.120106404465954,0.864210604966842,-1.05534077077504,0.0123226069207807,0,0
96,Ak6-201,-0.280993854476142,0.547321403494745,2.00230842074249,9.80195592077639e-09,0,1
97,Akap1-201,-0.552793719603039,0.433123447299442,0.0698445581363446,0.907728132239892,0,0
98,Akap12-201,0.638773069745432,0.376334920400866,-2.45285198565671,1.36458614437083e-06,0,-1
99,Akap17b-201,0.48822043272867,0.400088138803527,-3.12999720132564,1.15161102081309e-08,0,-1
100,Akap7-201,0.10503526497896,0.925885430684165,-4.15491559466094,9.77815157046297e-06,0,-1
101,Akap8-201,-0.167881248389138,0.816093218368984,1.53426153910265,0.000263933022661514,0,1
102,Akap9-201,0.206679765107385,0.67118245092332,-3.6610933420859,7.74679272131246e-08,0,-1
103,Akip1-201,0.139556414190379,0.828593345700282,-1.77259564600742,5.38302144670088e-05,0,-1
104,Akirin2-201,-0.152417783726779,0.835975203730805,-3.3617649723902,3.15569683375805e-12,0,-1
105,Akr1a1-201,0.395130637689117,0.513554879810765,1.03718957263705,0.0017981655263199,0,1
106,Akr1b3-201,0.338437105680953,0.437367499722576,-3.33731328942629,1.68887464675555e-09,0,-1
107,Alas1-207,0.385382057226192,0.533019707463784,1.35727849367737,0.00325642305290117,0,1
108,Aldh2-201,-0.51126290321477,0.454995016760307,-0.190715279946122,0.719488004046176,0,0
109,Aldh9a1-201,-0.153802302912087,0.833549830504484,-2.93489275026133,2.42084131645449e-11,0,-1
110,Aldoa-201,-1.11766651511686,0.243432928118031,0.521243211223568,0.325138769878203,0,0
111,Alg13-202,0.0562484528231862,0.930009759500884,0.822318614440494,0.0521961040358863,0,0
112,Alkbh2-201,0.233816937373593,0.476846805280659,0.27226287224891,0.57105088575406,0,0
113,Alkbh5-201,-0.00917067157219943,0.989062706493115,-2.83759765237625,1.59622783048431e-05,0,-1
114,Alms1-201,-0.988909593636026,0.203898065338971,-0.630334457344959,0.216914114779972,0,0
115,Alppl2-201,-0.96491353692857,0.25879538152865,3.98583277021762,2.4562431636115e-16,0,1
116,Als2-201,0.0130309775019811,0.987102045662783,0.999511200465452,0.0388248381540532,0,0
117,Alyref-201,-0.010862920311802,0.989062706493115,0.967568330783309,0.0690503342905728,0,0
118,Ambra1-202,-0.273662750171477,0.67964161025335,-0.842266676229976,0.182430036630297,0,0
119,Ammecr1l-201,-1.09823622801922,0.231527397615593,0.826969143181402,0.176248619305382,0,0
120,Anapc1-201,0.139571626909095,0.833549830504484,-1.34054780812952,0.00766961313065747,0,-1
121,Anapc10-203,0.366081237330163,0.553163409583468,0.489989469114913,0.231742006766843,0,0
122,Anapc11-201,-0.0615710648951194,0.935994130136884,1.70164356503258,3.58504456824987e-05,0,1
123,Anapc15-204,0.518197488773719,0.245011185466279,0.0312239210656888,0.941530494855649,0,0
124,Anapc16-204,0.438669195342652,0.349909501222607,0.3805213317109,0.355064087413215,0,0
125,Anapc4-201,-0.0199013301758635,0.973209555103367,1.71062971497795,0.00037796701602205,0,1
126,Anapc5-201,-0.129897076813106,0.847272368605455,0.320310297327858,0.424722129327023,0,0
127,Anapc7-203,-0.371772992176433,0.376824707659156,3.51701378064055,2.58749611188301e-09,0,1
128,Angel2-202,0.434924146403668,0.384772387139138,-4.33317539054008,8.31516963012532e-22,0,-1
129,Angptl2-201,0.128227647219875,0.835975203730805,-3.97423652538864,1.51135821239232e-05,0,-1
130,Ankle2-206,0.438540678985729,0.511749954288488,0.467849395282877,0.381323440229762,0,0
131,Ankrd10-201,0.0255279040491412,0.969794279365602,2.6615287924768,1.71355751141937e-06,0,1
132,Ankrd12-201,-0.209956560517978,0.700273858840734,-2.7534775977348,6.2827547065863e-08,0,-1
133,Ankrd13c-201,1.44273799028877,0.129522545847294,0.391926690179586,0.312975754263415,0,0
134,Ankrd17-201,2.29469454334562,0.00867824125954286,-0.489734292918078,0.16966040282129,1,0
135,Ankrd27-201,-0.00775554460602822,0.989062706493115,-2.32047807233267,0.000737834994514984,0,-1
136,Ankrd44-210,-0.337619743236808,0.556580268242408,-3.64985536811486,1.32846418439617e-08,0,-1
137,Anln-201,-2.7205629916841,9.59067571270984e-05,-0.899895778795496,0.048838243615174,-1,0
138,Anp32a-201,-0.211778901944561,0.710747581691307,-0.63728928904413,0.194023070837849,0,0
139,Anp32b-201,0.220680931346857,0.747310622545378,-0.00289098672726667,0.994749317281277,0,0
140,Anp32e-202,1.11906341621535,0.16716772066092,1.80826067832657,1.64975346004055e-05,0,1
141,Anxa7-201,0.140850460832035,0.845229064755748,-2.68902356158861,9.11181148271328e-20,0,-1
142,Ap1b1-201,0.00282652591358478,0.989382784381874,-0.0722299993872787,0.905954902582326,0,0
143,Ap1g1-202,-1.43284428038229,0.145009069690875,-0.564965777271034,0.339213805089312,0,0
144,Ap1m1-201,-0.344764740414452,0.580886972527753,-1.49477034756485,0.00210223263884397,0,-1
145,Ap1m2-201,0.0708787817183181,0.90369412998044,-0.176262859097972,0.698000767139313,0,0
146,Ap1s1-201,0.0537722720684722,0.933970672281226,1.33468924975649,0.00477103547933302,0,1
147,Ap2b1-201,-0.0617598572662986,0.936240736755411,-1.00938241519999,0.0730808688078984,0,0
148,Ap2m1-201,0.165655292479656,0.822567727228026,-0.00302495696723983,0.993772015947593,0,0
149,Ap2s1-201,0.0916878319900779,0.862901858897776,-0.486743817268253,0.23142038816162,0,0
150,Ap3b1-201,-0.332102319431633,0.556580268242408,-1.64834693125116,0.0110623494473813,0,0
151,Ap3d1-201,0.434309179653735,0.471031270460114,0.876469720972586,0.17300365133827,0,0
152,Ap3m1-206,1.60268643109951,0.202781295675814,-3.37368454968493,4.4665491833841e-13,0,-1
153,Apc-202,-0.0445946831741143,0.956027155742556,-1.53558407266658,0.00104289427102284,0,-1
