,Row.names,log2FoldChange.x,padj.x,log2FoldChange.y,padj.y,TE_significance,RNA_significance
1,Afdn-212,1.67461130026743,2.93146172594121e-07,0.167284213941802,0.453041855315807,1,0
2,Akap12-201,0.989341402060186,0.00825684777231047,0.0197659600967975,0.942077918806645,1,0
3,Alms1-201,1.84478221733397,6.73436728684547e-05,0.705874392872152,0.000557497804552639,1,1
4,Ankrd17-201,2.16388407749591,1.66100928863585e-41,0.196915296418931,0.130221413399313,1,0
5,Ankrd44-210,3.28150867199261,0.000212684304424862,0.123074427554216,0.586014964097644,1,0
6,Ap2a1-203,2.78684411231867,0.00814582888804157,0.0875238956859281,0.686595407750539,1,0
7,Apc-202,1.15321009469452,0.000985928761360676,0.0485936983437894,0.848167503522609,1,0
8,Arntl-204,1.120336105653,0.00360345318896165,0.0533610930891957,0.825202269580093,1,0
9,Atp2a2-201,2.01890472337411,1.96564827655156e-07,0.285306899129095,0.0583875910228069,1,0
10,B4galt5-201,4.87956053697396,0.00157814798931975,0.675825563616312,0.0389004520206448,1,0
11,Baz1b-201,1.62776749596052,7.09531542518165e-10,0.215131250009677,0.30439953731043,1,0
12,Brca2-201,1.73707035702631,1.746381034953e-11,0.393936096402047,0.00571742670766351,1,1
13,Brd2-201,3.32498953116404,0.000138335203584705,-0.029549912392125,0.91720108767981,1,0
14,Brdt-201,1.15908321539542,0.000251663223003287,0.14940340411949,0.462161991288241,1,0
15,Brwd1-202,1.55619190902153,7.3028748920836e-07,0.163292877918695,0.462161991288241,1,0
16,Brwd3-205,1.1037019421124,0.00896269971236543,0.129625599011631,0.572728186085868,1,0
17,Btaf1-201,1.50373040415399,0.000623334410458758,0.0651316366685916,0.805928592625432,1,0
18,Cabin1-201,1.15568224573915,8.30480335633636e-05,0.221096040173913,0.290603801299797,1,0
19,Camsap1-202,1.12971622322147,0.00191473148099946,0.218319722695557,0.247441080274346,1,0
20,Cand1-201,1.70406536522079,8.06601118083099e-07,-0.340077471791029,0.0557145458760306,1,0
21,Casp8ap2-201,1.02584361692905,0.000446076184832755,0.103410123001698,0.588438116568114,1,0
22,Cdc42bpb-201,0.887390358571931,0.000352023644265887,0.228568666195947,0.180661826902511,1,0
23,Cenpe-201,0.736940322827186,0.000338406658313909,0.302296385281086,0.0229074557772843,1,0
24,Cep120-201,1.17363477836463,0.0037337981478366,-0.0233797863886736,0.933888870807133,1,0
25,Cgn-205,1.34283924972854,0.00516457941611389,0.0711763927041742,0.785738549218373,1,0
26,Chd4-201,1.21195263952953,8.32856408303142e-06,0.0917133722068279,0.664307345983308,1,0
27,Clock-205,1.7383313562435,0.00810171617178428,0.116309770202205,0.62534327413077,1,0
